由指人名词转化成的及物动词
butcher 屠宰（动物），残杀（人）
cook 烹调，做饭
host 做主人招待，主持
judge 判断， 判定
master 精通，掌握
spy 侦探，刺探

由指物具体动词转化成的及物动词
arm 装备，武装；手臂
board 上（火车，船，飞机），包饭；板；木板；登机
bomb 投弹于，轰炸
book 预定，预订（房间，车票等）；书
brush 刷，擦
button 扣住，扣紧
change 改变，变化，更换；变化；零钱
check 校对，核对，检查，批改
coat 穿外套，涂上，包上；外套
comb 梳（发），搜查
combine （使）联合，（使）结合
cover 覆盖，遮盖，掩盖
cross 越过，穿过；十字架；脾气不好的；易怒的
desert 舍弃，遗弃；沙漠
dress 穿衣，穿着；连衣裙；穿衣
drill 钻（孔），重复训练
drink 喝，饮
face 面对，面向；脸；面对
film 拍摄，把……拍成电影；电影
guarantee 保证， 担保
hand 递给，交付，交上；手
handle 处理，操作
head 率领，加标题，用头顶；头部的，主要的；头；负责人
hook 钩住，沉迷于
iron 熨烫
light 点（火），点燃；明亮的；轻的；浅的；灯
line 画线于，（使）成行；线；队伍
lock 锁上，锁住
mask 戴面具，掩饰
match 相配，相称，匹配
milk 挤奶；牛奶
mop 用拖把拖洗，擦，抹
paint 粉刷，绘画
park 停放；（汽车）；公园
permit 许可，允许，准许
phone 打电话；电话
pin 别住，钉住
plug （用塞子）把……塞住
post 投寄，邮寄，张贴；邮件；邮政；岗位
preserve 保护，保留，保存
pump （用泵）抽（水），抽吸
ring 按铃，敲钟，打电话，包围
schedule 安排时间，预定
ship 用船装运；船
switch 转换，转变
telegraph （拍）电报
telephone 打电话；电话
tie （用绳，线）系，栓，扎
trap 设圈套诱骗，坑害
toast 敬酒；烤（面包等）
truck 装车；用货车运；卡车
water 浇水；水
zip 拉开；拉链

由指物抽象名词转化成的及物动词
access 存取（计算机文件）；接近
answer 回答；答复；答案
ban 禁止；取缔
beat 敲打；打败
bend （使）弯曲；专心于
cash 兑现；现金
cause 促使；引起；原因；导致
chant 反复呼喊；吟唱
circle 将……圈起来；环绕；圆圈
click 点击（计算机用语）
colour 给……着色；涂色
copy 复印；复制；抄写
cut 切；剪；割
design 设计；策划
draft 起草；草拟
dream 梦想；梦
express 表达；表示
figure 认为；想象
flood 淹没；使泛滥
focus 集中（注意力、精力）
fry 用油煎；用油炸
mark 标明；作记号于
name 命名；提名；名字
part 分离；分开；部分
place 放置；安置；地方
plan 计划；设计
plant 种植；栽培；植物
point 指；指向；点
present 引见；赠送；出现的，出席的；出席的，在场的
question 询问；审问；问题
reason 说服；推论；原因
record 录制；记录；唱片
score 评价；得分；分数
scratch 划破；划伤
shape 使成型；制造；形状
smell 嗅；闻到；闻；气味
spot 认出；发现
subject （使）隶属；（使）服从；隶属的，受支配的；科目；主题
substitute 代替；取代
suit 适合；适宜于
target 把……作为攻击目标；靶子
taste 品尝；品味
tip 告诫；提示
waste 浪费；废物
wave 挥手；挥动
wound 伤；伤害

由指事抽象名词转化成的及物动词
abandon 抛弃；遗弃
abuse （毒品、酒）滥用；虐待
arrest 逮捕；拘留
attack 攻击；抨击
attempt 试图；尝试
bid 出价；投标
bite 咬；叮
blame 责备；谴责
bond （使）牢固；结合
boycott 拒绝购买；抵制
break 打破（断、碎）；损坏
call 称呼；呼喊；打电话
charge 要求；收费
command 命令；指挥
concern 涉及；关系到
conduct 引导；带领
cure 治疗；医好
damage 损害
defeat 击败；战胜
delay 拖延；延误
demand 需求；需要
deposit 放下；放置
desire 欲求；要求
display 展览；显露
doubt 怀疑；疑惑
drive 驾驶；驱赶
ease 减轻；缓解
excuse 原谅；宽恕；借口
expand 扩大；扩张
explode （使）爆炸
fight 与……打架；打架；战斗
fit 适合；健康的；适合的
gather 聚集；收集
grow 种植；栽培；生长
guess 猜测；推测
hang 悬挂；绞死
heap 堆；堆起
hunt 狩猎；猎取
increase 增加；加大
injure 损害；伤害
insist 坚持；坚决认为
join 连接；结合；加入
lack 缺乏
lead 领导；引导；带领；导致
leave 离开；留下
lift 升高；提高；举起；电梯
litter 乱丢；弄乱；垃圾
manage 管理；控制；设法做到
mine 挖掘；开采；我的
move 移动；感动；搬家
multiply 相乘；增加
pass 通过；传递
pay 付钱；给报酬；支付
pour 灌注；倾泻
practice 练习；实行
prepare 准备
prove 证明
publish 公布；发表
punctuate 加标点于
operate 经营
quit 离开；放弃
reflect 反射；反应
register 记录；登记
regret 遗憾；后悔
relax （使）松弛；缓和
relay 分层传递
remember 回忆起；记得
remove 移动；拿走
repeat 重做；复述；重复
resign 辞去
return 归还；回报；返回
rot （使）腐烂
ruin 损坏；毁坏
sacrifice 牺牲；献祭
scare （使）害怕
search 搜寻；搜查；搜索
